[00]設定なし
[01]いじっぱり, AS, 特性ランダム
[02]ようき, AS, 特性ランダム
[03]ひかえめ, CS, 特性ランダム
[04]おくびょう, CS, 特性ランダム
[05]いじっぱり, HA, 特性ランダム
[06]いじっぱり, AB, 特性ランダム
[07]いじっぱり, AD, 特性ランダム
[08]ひかえめ, HC, 特性ランダム
[09]ひかえめ, BC, 特性ランダム
[0A]ひかえめ, CD, 特性ランダム
[0B]ずぶとい, HB, 特性ランダム
[0C]わんぱく, HB, 特性ランダム
[0D]おだやか, HD, 特性ランダム
[0E]しんちょう, HD, 特性ランダム
[0F]さみしがり, ACS, 特性ランダム
[10]やんちゃ, ACS, 特性ランダム
[11]おっとり, ACS, 特性ランダム
[12]うっかりや, ACS, 特性ランダム
[13]せっかち, ACS, 特性ランダム
[14]むじゃき, ACS, 特性ランダム
[15]ずぶとい, HBD, 特性ランダム
[16]わんぱく, HBD, 特性ランダム
[17]おだやか, HBD, 特性ランダム
[18]しんちょう, HBD, 特性ランダム
[19]おくびょう, HS, 特性ランダム
[1A]ようき, HS, 特性ランダム
[1B]おくびょう, BS, 特性ランダム
[1C]ようき, BS, 特性ランダム
[1D]おくびょう, DS, 特性ランダム
[1E]ようき, DS, 特性ランダム
[1F]いじっぱり, AS, 特性1
[20]ようき, AS, 特性1
[21]ひかえめ, CS, 特性1
[22]おくびょう, CS, 特性1
[23]いじっぱり, HA, 特性1
[24]いじっぱり, AB, 特性1
[25]いじっぱり, AD, 特性1
[26]ひかえめ, HC, 特性1
[27]ひかえめ, BC, 特性1
[28]ひかえめ, CD, 特性1
[29]ずぶとい, HB, 特性1
[2A]わんぱく, HB, 特性1
[2B]おだやか, HD, 特性1
[2C]しんちょう, HD, 特性1
[2D]さみしがり, ACS, 特性1
[2E]やんちゃ, ACS, 特性1
[2F]おっとり, ACS, 特性1
[30]うっかりや, ACS, 特性1
[31]せっかち, ACS, 特性1
[32]むじゃき, ACS, 特性1
[33]ずぶとい, HBD, 特性1
[34]わんぱく, HBD, 特性1
[35]おだやか, HBD, 特性1
[36]しんちょう, HBD, 特性1
[37]おくびょう, HS, 特性1
[38]ようき, HS, 特性1
[39]おくびょう, BS, 特性1
[3A]ようき, BS, 特性1
[3B]おくびょう, DS, 特性1
[3C]ようき, DS, 特性1
[3D]いじっぱり, AS, 特性2
[3E]ようき, AS, 特性2
[3F]ひかえめ, CS, 特性2
[40]おくびょう, CS, 特性2
[41]いじっぱり, HA, 特性2
[42]いじっぱり, AB, 特性2
[43]いじっぱり, AD, 特性2
[44]ひかえめ, HC, 特性2
[45]ひかえめ, BC, 特性2
[46]ひかえめ, CD, 特性2
[47]ずぶとい, HB, 特性2
[48]わんぱく, HB, 特性2
[49]おだやか, HD, 特性2
[4A]しんちょう, HD, 特性2
[4B]さみしがり, ACS, 特性2
[4C]やんちゃ, ACS, 特性2
[4D]おっとり, ACS, 特性2
[4E]うっかりや, ACS, 特性2
[4F]せっかち, ACS, 特性2
[50]むじゃき, ACS, 特性2
[51]ずぶとい, HBD, 特性2
[52]わんぱく, HBD, 特性2
[53]おだやか　, HBD, 特性2
[54]しんちょう, HBD, 特性2
[55]おくびょう, HS, 特性2
[56]ようき, HS, 特性2
[57]おくびょう, BS, 特性2
[58]ようき, BS, 特性2
[59]おくびょう, DS, 特性2
[5A]ようき, DS, 特性2
[5B]いじっぱり, AS, 隠れ特性
[5C]ようき, AS, 隠れ特性
[5D]ひかえめ, CS, 隠れ特性
[5E]おくびょう, CS, 隠れ特性
[5F]いじっぱり, HA, 隠れ特性
[60]いじっぱり, AB, 隠れ特性
[61]いじっぱり, AD, 隠れ特性
[62]ひかえめ, HC, 隠れ特性
[63]ひかえめ, BC, 隠れ特性
[64]ひかえめ, CD, 隠れ特性
[65]ずぶとい, HB, 隠れ特性
[66]わんぱく, HB, 隠れ特性
[67]おだやか, HD, 隠れ特性
[68]しんちょう, HD, 隠れ特性
[69]さみしがり, ACS, 隠れ特性
[6A]やんちゃ, ACS, 隠れ特性
[6B]おっとり, ACS, 隠れ特性
[6C]うっかりや, ACS, 隠れ特性
[6D]せっかち, ACS, 隠れ特性
[6E]むじゃき, ACS, 隠れ特性
[6F]ずぶとい, HBD, 隠れ特性
[70]わんぱく, HBD, 隠れ特性
[71]おだやか, HBD, 隠れ特性
[72]しんちょう, HBD, 隠れ特性
[73]おくびょう, HS, 隠れ特性
[74]ようき, HS, 隠れ特性
[75]おくびょう, BS, 隠れ特性
[76]ようき　, BS, 隠れ特性
[77]おくびょう, DS, 隠れ特性
[78]ようき　, DS, 隠れ特性
